bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-25.360422,-34.821954,51.417038,37.345201",uuuu,0,,abbb50fa472da6f63d433929ca037593,,dff78d8fecedbc6608382c5488c043e4,6.435268,18.269761,102191573,uuuu,,,1503612214,21.638471,3.924068,0,Africa,-1,102/191/573/102191573.geojson,continent,0,mz,,,
"-179.143503,5.515082,179.780935,83.634101",uuuu,0,,d290f7c233982b5bb50100a90e73bf7b,,9bacf2657d678c2c30c9da2b68c6eaf3,56.498698,-92.335587,102191575,uuuu,,,1503612326,38.309137,-101.328273,0,North America,-1,102/191/575/102191575.geojson,continent,0,mz,,,
"-109.234242,-60.772719,94.290782,39.728339",uuuu,0,,b7bfb083c826b8b37fd101469d9a865d,,751f818b7ef554ea6388d199a84247aa,-25.693528,38.764014,102193527,uuuu,,,1503612290,-54.385042,-36.591464,0,Seven Seas,-1,102/193/527/102193527.geojson,continent,0,naturalearth,,,
"-92.011586,-55.918504,-28.877065,15.702948",uuuu,0,,b46368aa94311e96fbcd45afb6e98f6a,,71e0910557e86eb7c2cd223e617d2fdc,-15.160376,-60.790535,102191577,uuuu,,,1503612404,-12.819233,-50.657067,0,South America,-1,102/191/577/102191577.geojson,continent,0,mz,,,
"-180,-90,180,-54.380141",uuuu,0,,16ea68b61ad967276bdd745a58f4961f,,04025d1d992fe82595c94c34ad7431f5,-80.508459,19.909273,102191579,uuuu,,,1503612187,-79.843222,35.885456,0,Antarctica,-1,102/191/579/102191579.geojson,continent,0,naturalearth,,,
"-24.539906,34.815009,69.033946,81.85871",uuuu,0,,47edf7727d423e91e40847bc37ebe056,,00b0e73398b201525a4f0468eb3deb91,55.924452,28.098120,102191581,uuuu,,,1503612245,55.859135,39.579995,0,Europe,-1,102/191/581/102191581.geojson,continent,0,mz,,,
"-180,-54.750421,180,28.401679",uuuu,0,,e94f845ee53ceba091fe67ee052f1f84,,2562f9366698d7eb6c18a2454d8d97da,-25.194797,135.849193,102191583,uuuu,,,1512495425,-24.130111,134.050312,0,Oceania,-1,102/191/583/102191583.geojson,continent,0,naturalearth,,,
"-180,-12.199965,180,81.288804",uuuu,0,,f50ef7f897e63bd191f53170fc027d65,,36c59fe9681e427a0130d8390c3d5a82,45.292720,95.729651,102191569,uuuu,,,1507750830,49.512481,94.464337,0,Asia,-1,102/191/569/102191569.geojson,continent,0,mz,,,
