bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"24.9752152659945,60.2724847557756,25.0975941433842,60.3246813046424",uuuu,85633143,,630af568c5b6588f0bf36a0fb703bfb4,,96ce96bb0c85cea583c539c00cfbdd4e,60.298040,25.039310,1108729491,uuuu,FI,FI,1507246136,60.303353,25.035142,101748419,Tikkurila,101748419,110/872/949/1/1108729491.geojson,borough,85683067,hkigis,,,FI
"24.9890018733001,60.3036837271176,25.1165411441128,60.3444346101094",uuuu,85633143,,6071b75b2ef758c73355ecf0e0c68df7,,03da653d7db2e501f6328585ea38c00c,60.325826,25.057668,1108729493,uuuu,FI,FI,1507246136,60.324463,25.062924,101748419,Koivukyla,101748419,110/872/949/3/1108729493.geojson,borough,85683067,hkigis,,,FI
"25.082422911551,60.2372155411436,25.1930752392541,60.3286828001115",uuuu,85633143,,7d7e11c26aa86bd83f2a45740d9e6a76,,bb52ccdb10a6b82cdf30dee5f851783b,60.282055,25.131230,1108729495,uuuu,FI,FI,1507246136,60.290160,25.122846,101748419,Hakunila,101748419,110/872/949/5/1108729495.geojson,borough,85683067,hkigis,,,FI
"25.0211506771804,60.3316629305636,25.1527209113413,60.374474395715",uuuu,85633143,,5b11c3a699f4464055d35c2eafaf89ce,,0174cc105a8b5ebfdaea247405b2b6e0,60.352793,25.088887,1108729497,uuuu,FI,FI,1507246136,60.349706,25.088916,101748419,Korso,101748419,110/872/949/7/1108729497.geojson,borough,85683067,hkigis,,,FI
"24.760878126392,60.2415236028412,24.8928132442714,60.3253849269443",uuuu,85633143,,c98c86c7a5216b37dfaedf5aecd34558,,af0f489dba6e6efaba86857cc5b41581,60.278195,24.817637,1108729499,uuuu,FI,FI,1507246136,60.278677,24.796702,101748419,Myyrmaki,101748419,110/872/949/9/1108729499.geojson,borough,85683067,hkigis,,,FI
"4.75483715531013,52.3269251202789,4.85049248342291,52.40028105590423",uuuu,85633337,2017-10-10,798c7e1d428c4810b4ffe45bedaf7f3d,,be0dfddbdf99ff589b9192872540cf88,52.366430,4.803308,1108802279,uuuu,NL,NL,1513269515,52.366883,4.804221,101751893,Nieuw-West,101751893,110/880/227/9/1108802279.geojson,borough,85687053,amsgis,1158844287,,NL
"4.81712155011333,52.32141328547759,4.91498424970674,52.36205506359296",uuuu,85633337,2017-10-10,a35c47b3655ba88b00f173a9fb618b86,,8781c2257ba50241c836e488ba37f5b0,52.341344,4.874729,1108802281,uuuu,NL,NL,1513269515,52.341389,4.875471,101751893,Zuid,101751893,110/880/228/1/1108802281.geojson,borough,85687053,amsgis,1158844283,,NL
"4.87443424290847,52.35793318755799,4.93296846349079,52.38869092910546",uuuu,85633337,2017-10-10,a4470df652aa896fa8ce85d27aa636f4,,32ceff802c0a080e480f98df5916a053,52.371617,4.899732,1108802283,uuuu,NL,NL,1513269516,52.370387,4.899177,101751893,Centrum,101751893,110/880/228/3/1108802283.geojson,borough,85687053,amsgis,1158844279,,NL
"4.83533106918954,52.35640773545131,4.89507757046463,52.3993768789427",uuuu,85633337,2017-10-10,bf7b3b36ac610564ce14133c2ab18ae6,,d4e3dd9fe90ed48b4840677dd6ca26aa,52.379044,4.862890,1108802285,uuuu,NL,NL,1513269516,52.377704,4.860831,101751893,West,101751893,110/880/228/5/1108802285.geojson,borough,85687053,amsgis,1158844285,,NL
"4.72875892815126,52.39189264715832,4.88585529651111,52.43106382818931",uuuu,85633337,,0ff7ca6e68f1531012e4bb3fe3f36f73,,7408aa26c47872bce56d5af4b770ac36,52.409758,4.800355,1108802287,uuuu,NL,NL,1507246137,52.412196,4.792531,101751893,Westpoort,101751893,110/880/228/7/1108802287.geojson,borough,85687053,amsgis,,85798675,NL
"4.89522339028572,52.31824800913657,5.03905650021708,52.3826498804079",uuuu,85633337,2017-10-10,4620f8c574cfd591507b950f0add0897,,f78e004d1cb4fd4b1183fde542ac4143,52.357235,4.962507,1108802289,uuuu,NL,NL,1513269516,52.364321,4.951619,101751893,Oost,101751893,110/880/228/9/1108802289.geojson,borough,85687053,amsgis,1158844281,,NL
"4.85571248545015,52.36822923651254,5.07916222004067,52.43067866256748",uuuu,85633337,2017-10-10,4c5ffaafcbb26c93a8eedf8118ea7650,,381781bd14f3efc60378b35b6811a6bf,52.399956,4.976150,1108802291,uuuu,NL,NL,1513269517,52.396832,4.996351,101751893,Noord,101751893,110/880/229/1/1108802291.geojson,borough,85687053,amsgis,1158844277,,NL
